Team,Year,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Cleveland Cavaliers,2020,72,103.8,38.6,85.8,45.0,10.0,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,7.8,4.5,14.4,18.2
Dallas Mavericks,2020,72,112.4,41.1,87.3,47.0,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,6.3,4.3,11.4,19.4
Denver Nuggets,2020,72,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,8.1,4.5,12.8,19.1
Detroit Pistons,2020,72,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,7.4,5.2,14.2,20.5
Golden State Warriors,2020,72,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,8.0,35.1,43.0,27.7,8.2,4.8,14.6,21.2
Houston Rockets,2020,72,108.8,39.3,88.5,44.3,13.8,40.6,33.9,16.5,22.3,74.0,9.3,33.3,42.6,23.6,7.6,5.0,14.2,19.5
Indiana Pacers,2020,72,115.3,43.3,91.2,47.4,12.3,34.0,36.4,16.4,20.7,79.2,9.0,33.7,42.7,27.4,8.5,6.4,13.0,20.2
LA Clippers,2020,72,114.0,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,7.1,4.1,12.4,19.2
Los Angeles Lakers,2020,72,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,7.8,5.4,14.7,19.1
Memphis Grizzlies,2020,72,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,9.1,5.1,12.7,18.7
Miami Heat,2020,72,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79.0,8.0,33.5,41.5,26.3,7.9,4.0,13.3,18.9
Milwaukee Bucks,2020,72,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76.0,10.3,37.8,48.1,25.5,8.1,4.6,13.4,17.3
Minnesota Timberwolves,2020,72,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33.0,43.5,25.6,8.8,5.5,13.7,20.9
New Orleans Pelicans,2020,72,114.6,42.5,89.1,47.7,10.6,30.4,34.8,19.0,26.1,72.9,11.7,35.7,47.4,26.0,7.6,4.4,13.9,18.0
New York Knicks,2020,72,107.0,39.4,86.5,45.6,11.8,30.0,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,7.0,5.1,12.2,20.5
Oklahoma City Thunder,2020,72,105.0,38.8,88.0,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,7.0,4.4,15.4,18.1
Orlando Magic,2020,72,104.0,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,6.9,4.4,12.3,17.2
Philadelphia 76ers,2020,72,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10.0,35.0,45.1,23.7,9.1,6.2,13.7,20.2
Phoenix Suns,2020,72,115.3,43.3,88.3,49.0,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,7.2,4.3,12.0,19.1
Portland Trail Blazers,2020,72,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,6.9,5.0,10.8,18.9
Sacramento Kings,2020,72,113.7,42.6,88.6,48.1,12.1,33.3,36.4,16.4,22.0,74.5,9.4,32.0,41.4,25.5,7.5,5.0,12.8,19.4
San Antonio Spurs,2020,72,111.1,41.9,90.5,46.2,9.9,28.4,35.0,17.4,22.0,79.2,9.3,34.6,43.9,24.4,7.0,5.1,11.0,18.0
Toronto Raptors,2020,72,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,8.6,5.4,12.5,21.2
Utah Jazz,2020,72,116.4,41.3,88.1,46.8,16.7,43.0,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,6.6,5.2,13.5,18.5
Washington Wizards,2020,72,116.6,43.2,90.9,47.5,10.2,29.0,35.1,20.1,26.2,76.9,9.7,35.5,45.2,25.5,7.3,4.1,13.9,21.6
Atlanta Hawks,2019,67,111.8,40.6,90.6,44.9,12.0,36.1,33.3,18.5,23.4,79.0,9.9,33.4,43.3,24.0,7.8,5.1,15.7,23.1
Boston Celtics,2019,72,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23.0,8.3,5.6,13.2,21.6
Brooklyn Nets,2019,72,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6,37.3,47.9,24.5,6.4,4.5,14.6,21.0
Charlotte Hornets,2019,65,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11.0,31.8,42.8,23.8,6.6,4.1,13.9,18.8
Chicago Bulls,2019,65,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,10.0,4.1,14.6,21.8
Cleveland Cavaliers,2019,65,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,6.9,3.2,15.7,18.3
Dallas Mavericks,2019,75,117.0,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,6.1,4.8,12.1,19.5
Denver Nuggets,2019,73,111.3,42.0,88.9,47.3,11.0,30.6,35.9,16.2,20.9,77.7,10.8,33.4,44.1,26.7,8.0,4.6,13.1,20.3
Detroit Pistons,2019,66,107.2,39.3,85.7,45.9,12.0,32.7,36.7,16.6,22.4,74.3,9.8,32.0,41.7,24.1,7.4,4.5,14.5,19.7
Golden State Warriors,2019,65,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10.0,32.9,42.8,25.6,8.2,4.6,14.3,20.1
Houston Rockets,2019,72,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8,34.5,44.3,21.6,8.7,5.2,14.2,21.8
Indiana Pacers,2019,73,109.4,42.1,88.5,47.6,10.2,28.0,36.3,15.0,19.1,78.7,8.7,34.1,42.8,25.9,7.4,5.2,12.7,19.8
LA Clippers,2019,72,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7,37.0,47.7,23.7,7.1,4.7,14.0,22.1
Los Angeles Lakers,2019,71,113.4,42.3,88.3,48.0,11.0,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,8.6,6.6,14.7,20.7
Memphis Grizzlies,2019,73,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3,36.2,46.5,26.9,7.9,5.5,14.6,21.2
Miami Heat,2019,73,112.0,39.5,84.4,46.8,13.4,35.4,37.9,19.7,25.2,78.3,8.5,35.9,44.4,25.9,7.5,4.5,14.0,20.6
Milwaukee Bucks,2019,73,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,7.2,5.9,14.7,19.6
Minnesota Timberwolves,2019,64,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,8.7,5.7,14.7,21.4
New Orleans Pelicans,2019,72,115.8,42.6,91.6,46.5,13.6,36.9,37.0,17.1,23.4,72.9,11.1,35.4,46.5,26.8,7.5,5.0,15.9,21.2
New York Knicks,2019,66,105.8,40.0,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12.0,34.5,46.5,22.1,7.6,4.7,13.8,22.2
Oklahoma City Thunder,2019,72,110.4,40.0,85.5,46.8,10.7,30.2,35.5,19.8,24.8,79.6,8.2,34.7,42.9,21.7,7.6,4.9,13.0,19.3
Orlando Magic,2019,73,107.3,39.3,88.6,44.4,11.1,32.2,34.3,17.6,22.7,77.4,10.3,34.2,44.5,23.9,8.2,5.4,12.2,18.3
Philadelphia 76ers,2019,73,110.7,41.1,87.9,46.8,11.6,31.6,36.8,16.9,22.4,75.5,10.5,35.0,45.4,25.8,8.0,5.3,13.5,20.9
Phoenix Suns,2019,73,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8,33.8,43.5,27.2,7.7,4.0,14.2,22.0
Portland Trail Blazers,2019,74,115.0,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,6.3,6.1,12.4,21.7
Sacramento Kings,2019,72,110.1,40.9,88.4,46.2,12.7,34.9,36.4,15.7,20.3,77.0,9.7,32.9,42.6,23.8,7.7,4.1,13.8,22.2
San Antonio Spurs,2019,71,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19.0,23.4,81.0,9.0,35.6,44.6,24.7,7.3,5.5,12.3,19.4
Toronto Raptors,2019,72,112.8,40.2,87.9,45.8,13.8,37.0,37.4,18.5,23.2,79.6,9.5,35.9,45.4,25.2,8.8,5.0,14.1,21.7
Utah Jazz,2019,72,111.3,40.1,85.1,47.1,13.4,35.2,38.0,17.8,22.8,77.9,9.1,35.8,44.9,22.4,6.1,4.0,14.6,20.4
Washington Wizards,2019,72,114.4,41.5,90.9,45.7,12.0,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42.0,25.0,8.0,4.3,13.6,22.7
Atlanta Hawks,2018,82,113.3,41.4,91.8,45.1,13.0,37.0,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,8.2,5.1,16.6,23.6
Boston Celtics,2018,82,112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,8.6,5.3,12.4,20.4
Brooklyn Nets,2018,82,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19.0,25.5,74.5,11.0,35.6,46.6,23.8,6.6,4.1,14.4,21.5
Charlotte Hornets,2018,82,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,7.2,4.9,11.7,18.9
Chicago Bulls,2018,82,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,7.4,4.3,13.5,20.3
Cleveland Cavaliers,2018,82,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,6.5,2.4,12.6,20.0
Dallas Mavericks,2018,82,108.9,38.8,86.9,44.7,12.5,36.6,34.0,18.8,25.3,74.2,10.1,35.2,45.3,23.4,6.5,4.3,13.6,20.1
Denver Nuggets,2018,82,110.7,41.9,90.0,46.6,11.0,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,7.7,4.4,12.9,20.0
Detroit Pistons,2018,82,107.0,38.8,88.3,44.0,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45.0,22.5,6.9,4.0,13.0,22.1
Golden State Warriors,2018,82,117.7,44.0,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,7.6,6.4,13.8,21.4
Houston Rockets,2018,82,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,8.5,4.9,12.7,22.0
Indiana Pacers,2018,82,108.0,41.3,87.0,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43.0,26.0,8.7,4.9,13.3,19.4
LA Clippers,2018,82,115.1,41.3,87.5,47.1,10.0,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24.0,6.8,4.7,13.8,23.3
Los Angeles Lakers,2018,82,111.8,42.6,90.5,47.0,10.3,31.0,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,7.5,5.4,15.2,20.7
Memphis Grizzlies,2018,82,103.5,38.0,84.4,45.0,9.9,28.9,34.2,17.7,23.0,77.2,8.8,33.0,41.8,23.9,8.3,5.5,13.2,22.0
Miami Heat,2018,82,105.7,39.6,88.0,45.0,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,7.6,5.5,14.1,20.9
Milwaukee Bucks,2018,82,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26.0,7.5,5.9,13.3,19.6
Minnesota Timberwolves,2018,82,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,8.3,5.0,12.6,20.3
New Orleans Pelicans,2018,82,115.4,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1,36.2,47.3,27.0,7.4,5.4,14.5,21.1
New York Knicks,2018,82,104.6,38.2,88.3,43.3,10.0,29.5,34.0,18.1,23.9,75.9,10.5,34.3,44.7,20.1,6.8,5.1,13.4,20.9
Oklahoma City Thunder,2018,82,114.5,42.6,94.0,45.4,11.4,32.6,34.8,17.8,25.0,71.3,12.6,35.5,48.1,23.4,9.3,5.2,13.6,22.4
Orlando Magic,2018,82,107.3,40.4,89.1,45.4,11.4,32.1,35.6,15.0,19.2,78.2,10.0,35.4,45.4,25.5,6.6,5.4,12.6,18.6
Philadelphia 76ers,2018,82,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,7.4,5.3,14.5,21.3
Phoenix Suns,2018,82,107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1,31.3,40.4,23.9,9.0,5.1,15.2,23.6
Portland Trail Blazers,2018,82,114.7,42.3,90.6,46.7,11.0,30.7,35.9,19.0,23.3,81.4,11.8,36.2,48.0,23.0,6.7,5.0,13.3,20.4
Sacramento Kings,2018,82,114.2,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11.0,34.4,45.4,25.4,8.3,4.4,12.9,21.4
San Antonio Spurs,2018,82,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21.0,81.9,9.2,35.5,44.7,24.5,6.1,4.7,11.8,18.1
Toronto Raptors,2018,82,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22.0,80.4,9.6,35.6,45.2,25.4,8.3,5.3,13.3,21.0
Utah Jazz,2018,82,111.7,40.4,86.4,46.8,12.1,34.0,35.6,18.8,25.5,73.6,10.0,36.4,46.4,26.0,8.1,5.9,14.8,21.1
Washington Wizards,2018,82,114.0,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,8.3,4.6,13.7,20.7
Atlanta Hawks,2017,82,103.4,38.2,85.5,44.6,11.2,31.0,36.0,15.8,20.2,78.5,9.1,32.8,41.9,23.7,7.8,4.2,15.0,19.6
Boston Celtics,2017,82,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,7.4,4.5,13.3,19.7
Brooklyn Nets,2017,82,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,6.2,4.8,14.2,20.6
Charlotte Hornets,2017,82,108.2,39.0,86.7,45.0,10.0,27.2,36.9,20.2,27.0,74.7,10.1,35.4,45.5,21.6,6.8,4.5,12.3,17.2
Chicago Bulls,2017,82,102.9,38.7,88.8,43.5,11.0,31.1,35.5,14.6,19.2,75.9,9.6,35.0,44.7,23.5,7.6,3.5,13.3,19.2
Cleveland Cavaliers,2017,82,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,7.1,3.8,13.3,18.6
Dallas Mavericks,2017,82,102.3,38.1,85.9,44.4,11.8,32.8,36.0,14.2,18.7,76.3,8.1,33.1,41.3,22.7,7.0,3.8,11.8,19.2
Denver Nuggets,2017,82,110.0,40.7,86.6,47.0,11.5,30.9,37.1,17.1,22.3,76.7,11.0,33.5,44.5,25.1,7.6,4.9,14.3,18.7
Detroit Pistons,2017,82,103.8,39.1,86.9,45.0,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,7.7,3.9,12.7,18.4
Golden State Warriors,2017,82,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,8.0,7.5,15.0,19.6
Houston Rockets,2017,82,112.4,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,8.5,4.8,13.2,19.5
Indiana Pacers,2017,82,105.6,40.8,86.4,47.2,9.0,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.3,22.2,8.8,4.1,12.8,18.8
LA Clippers,2017,82,109.0,40.3,85.4,47.1,9.5,26.8,35.4,19.0,25.5,74.3,10.1,33.7,43.9,22.3,7.7,4.5,14.1,20.0
Los Angeles Lakers,2017,82,108.1,40.7,88.4,46.1,10.0,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,7.7,4.7,15.3,21.2
Memphis Grizzlies,2017,82,99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31.0,40.5,21.5,7.5,4.8,14.4,23.2
Miami Heat,2017,82,103.4,38.8,85.3,45.5,11.0,30.6,36.0,14.7,19.5,75.5,9.3,34.2,43.5,22.7,7.6,5.3,13.6,20.1
Milwaukee Bucks,2017,82,106.5,39.7,83.0,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,8.8,5.4,13.1,21.4
Minnesota Timberwolves,2017,82,109.5,41.0,86.1,47.6,8.0,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42.0,22.7,8.4,4.2,11.7,18.2
New Orleans Pelicans,2017,82,111.7,42.7,88.3,48.3,10.2,28.2,36.2,16.1,20.9,77.2,8.7,35.7,44.3,26.8,8.0,5.9,14.4,19.1
New York Knicks,2017,82,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19.0,78.7,10.5,33.6,44.0,23.3,6.7,5.1,14.2,20.5
Oklahoma City Thunder,2017,82,107.9,39.9,88.0,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,9.1,5.0,13.4,20.2
Orlando Magic,2017,82,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,7.6,4.9,13.9,19.3
Philadelphia 76ers,2017,82,109.8,40.8,86.6,47.2,11.0,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,8.3,5.1,15.9,22.1
Phoenix Suns,2017,82,103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.9,44.1,21.3,6.9,4.5,15.0,22.0
Portland Trail Blazers,2017,82,105.6,39.3,87.0,45.2,10.3,28.1,36.6,16.7,20.9,80.0,10.2,35.3,45.5,19.5,7.0,5.2,13.0,19.5
Sacramento Kings,2017,82,98.8,38.8,86.1,45.0,9.0,24.0,37.5,12.3,16.7,73.5,9.5,31.4,40.9,21.6,7.8,4.1,13.2,20.0
San Antonio Spurs,2017,82,102.7,39.0,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,7.7,5.6,12.7,17.2
Toronto Raptors,2017,82,111.7,41.3,87.4,47.2,11.8,33.0,35.8,17.3,21.8,79.4,9.8,34.2,44.0,24.3,7.6,6.1,12.7,21.7
Utah Jazz,2017,82,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9.0,34.2,43.3,22.4,8.6,5.1,14.1,19.6
Washington Wizards,2017,82,106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10.0,33.1,43.1,25.2,7.9,4.3,14.0,21.3
Atlanta Hawks,2016,82,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,8.2,4.8,15.2,18.2
Boston Celtics,2016,82,108.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,7.5,4.1,12.6,20.6
Brooklyn Nets,2016,82,105.8,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,7.2,4.7,15.9,21.0
Charlotte Hornets,2016,82,104.9,37.7,85.4,44.2,10.0,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,7.0,4.8,11.0,16.6
Chicago Bulls,2016,82,102.9,38.6,87.1,44.4,7.6,22.3,34.0,18.0,22.5,79.8,12.2,34.1,46.3,22.6,7.8,4.8,13.0,17.7
Cleveland Cavaliers,2016,82,110.3,39.9,84.9,47.0,13.0,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.8,22.7,6.6,4.0,13.2,18.1
Dallas Mavericks,2016,82,97.9,36.2,82.3,44.0,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,7.5,3.7,11.2,19.1
Denver Nuggets,2016,82,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,6.9,3.9,14.5,19.1
Detroit Pistons,2016,82,101.3,39.9,88.8,44.9,7.7,23.3,33.0,13.9,19.3,71.9,11.1,34.6,45.7,21.1,7.0,3.8,11.4,17.9
Golden State Warriors,2016,82,115.9,43.1,87.1,49.5,12.0,31.2,38.3,17.8,22.6,78.8,9.4,35.0,44.4,30.4,9.6,6.8,14.4,19.3
Houston Rockets,2016,82,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,8.2,4.3,14.5,19.9
Indiana Pacers,2016,82,105.1,39.3,84.5,46.5,8.6,23.0,37.6,17.9,22.1,81.0,9.0,33.0,42.0,22.5,8.2,5.0,13.3,19.5
LA Clippers,2016,82,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26.0,74.5,9.0,34.0,43.0,22.5,7.5,4.2,12.5,19.8
Los Angeles Lakers,2016,82,104.6,39.3,87.4,45.0,8.9,25.7,34.6,17.0,22.6,75.4,11.4,32.1,43.5,20.9,8.2,3.9,14.5,20.7
Memphis Grizzlies,2016,82,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32.0,42.8,21.3,8.0,4.2,12.4,22.4
Miami Heat,2016,82,103.2,39.0,85.8,45.5,9.9,27.0,36.5,15.2,21.6,70.6,10.6,33.0,43.6,21.2,7.2,5.8,12.6,20.5
Milwaukee Bucks,2016,82,103.6,38.8,81.9,47.4,8.8,23.7,37.0,17.2,22.4,76.8,8.8,31.6,40.4,24.2,8.1,5.3,13.4,20.2
Minnesota Timberwolves,2016,82,105.6,39.5,84.4,46.7,7.3,21.0,34.9,19.3,24.2,79.9,11.4,31.0,42.4,23.7,8.0,4.5,13.4,20.1
New Orleans Pelicans,2016,82,104.3,39.1,87.0,45.0,9.4,26.8,35.0,16.7,22.3,75.0,8.6,35.1,43.7,22.8,7.8,5.5,12.3,18.2
New York Knicks,2016,82,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12.0,33.2,45.2,21.8,7.1,5.5,13.2,20.3
Oklahoma City Thunder,2016,82,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21.0,7.9,5.0,14.6,20.9
Orlando Magic,2016,82,101.1,38.3,87.0,44.0,8.5,26.1,32.8,16.0,21.4,74.7,9.8,33.3,43.2,22.2,7.1,4.8,12.8,19.3
Philadelphia 76ers,2016,82,102.4,37.7,85.2,44.2,10.1,29.8,34.0,17.0,22.0,77.1,9.8,33.0,42.8,23.8,8.4,5.1,16.0,21.9
Phoenix Suns,2016,82,107.7,39.9,88.5,45.0,7.5,22.6,33.2,20.4,26.3,77.6,11.9,33.1,45.0,19.6,8.2,4.9,14.9,24.8
Portland Trail Blazers,2016,82,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78.0,10.1,33.5,43.7,21.1,7.0,5.0,13.1,21.2
Sacramento Kings,2016,82,102.8,37.9,82.1,46.1,9.0,23.9,37.6,18.1,23.3,77.5,8.7,32.3,41.1,22.5,7.6,4.0,14.1,20.3
San Antonio Spurs,2016,82,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22.0,79.7,10.0,33.9,43.9,23.8,8.0,5.9,12.9,18.3
Toronto Raptors,2016,82,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,8.3,4.9,11.8,20.8
Utah Jazz,2016,82,100.7,37.0,79.5,46.6,9.6,26.0,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,6.7,5.0,12.9,18.8
Washington Wizards,2016,82,109.2,41.3,87.0,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,8.5,4.1,13.5,21.3
Atlanta Hawks,2015,82,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,9.1,5.9,14.5,19.1
Boston Celtics,2015,82,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,9.2,4.2,13.5,21.9
Brooklyn Nets,2015,82,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,7.6,4.0,14.3,18.0
Charlotte Hornets,2015,82,103.4,37.0,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79.0,9.0,35.0,43.9,21.7,7.3,5.3,11.9,18.1
Chicago Bulls,2015,82,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21.0,78.7,11.1,35.2,46.3,22.8,6.0,5.7,13.3,18.8
Cleveland Cavaliers,2015,82,104.3,38.7,84.0,46.0,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,6.7,3.9,12.9,20.3
Dallas Mavericks,2015,82,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,6.8,3.7,12.3,19.5
Denver Nuggets,2015,82,101.9,37.7,85.4,44.2,8.0,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,7.4,4.8,14.2,21.0
Detroit Pistons,2015,82,102.0,37.9,86.4,43.9,9.0,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,7.0,3.7,13.0,19.0
Golden State Warriors,2015,82,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10.0,36.2,46.2,28.9,8.4,6.1,14.9,20.7
Houston Rockets,2015,82,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,10.0,5.2,15.2,21.8
Indiana Pacers,2015,82,102.2,38.3,85.2,45.0,8.1,23.0,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,9.0,4.8,14.3,20.0
LA Clippers,2015,82,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42.0,22.8,8.6,5.6,12.4,21.3
Los Angeles Lakers,2015,82,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43.0,18.0,7.2,4.1,13.0,20.3
Memphis Grizzlies,2015,82,99.1,36.8,83.6,44.0,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,8.8,4.3,12.7,21.7
Miami Heat,2015,82,100.0,38.4,81.7,47.0,6.1,18.0,33.6,17.1,23.0,74.4,9.8,34.3,44.1,20.8,6.7,6.5,13.2,18.3
